Siren;Insee;Nom;Agrégat;Type_de_budget;Montant_2024;Montant_par_habitant_2024;Evolution_2023_2024__en_valeur_;Evolution_2023_2024__en___;Evolution_2023_2024__en_euros_par_habitant_;Montant_cumulé_2019_2024;Montant_cumulé_2019_2024_par_habitant
219200094;92009;Bois-Colombes;Dépenses totales;Budget principal;64179782,000000000000000;2137,260000000000218;2267584,939999999944121;0,036600000000000;60,854100000000003;356888651,870000004768372;11884,799800000000687
219200623;92062;Puteaux;Dépenses totales;Budget principal;185004979,300000011920929;4212,221499999999651;1150448,979999999981374;0,006300000000000;59,662900000000000;1214854938,180000066757202;27660,001799999998184
219200029;92002;Antony;Dépenses totales;Budget principal;140188963,259999990463257;2190,760600000000068;-21469879,890000000596046;-0,132800000000000;-349,487399999999980;781906758,049999952316284;12219,011399999999412
219200078;92007;Bagneux;Dépenses totales;Budget principal;91834408,269999995827675;2093,139599999999973;-2128434,149999999906868;-0,022700000000000;-137,591199999999986;536044559,790000021457672;12217,818300000000818
219200201;92020;Châtillon;Dépenses totales;Budget principal;81728457,269999995827675;2204,825100000000020;9196629,929999999701977;0,126800000000000;227,834599999999995;414344629,560000002384186;11177,960199999999531
219200250;92025;Colombes;Dépenses totales;Budget principal;211901603,860000014305115;2369,707399999999780;20707587,760000001639128;0,108300000000000;180,329199999999986;1080633642,779999971389771;12084,785900000000765
219200334;92033;Garches;Dépenses totales;Budget principal;37690151,009999997913837;2058,333799999999883;-5396496,769999999552965;-0,125200000000000;-340,699999999999989;219313262,180000007152557;11977,131900000000314
219200367;92036;Gennevilliers;Dépenses totales;Budget principal;196082457,400000005960464;3949,532799999999952;-11182616,359999999403954;-0,054000000000000;-187,824900000000014;1142689530,690000057220459;23016,285599999999249
219200714;92071;Sceaux;Dépenses totales;Budget principal;51817942,490000002086163;2489,212799999999788;7275116,179999999701977;0,163300000000000;339,566199999999981;293864326,290000021457672;14116,555000000000291
219200045;92004;Asnières-sur-Seine;Dépenses totales;Budget principal;164970150,069999992847443;1825,719100000000026;1647002,669999999925494;0,010100000000000;-16,160499999999999;961816415,799999952316284;10644,389800000000832
219200227;92022;Chaville;Dépenses totales;Budget principal;32448174,670000001788139;1599,693099999999959;-1340805,370000000111759;-0,039700000000000;-22,437500000000000;193041464,400000005960464;9516,932800000000498
219200326;92032;Fontenay-aux-Roses;Dépenses totales;Budget principal;44515407,899999998509884;1782,898400000000038;1871932,100000000093132;0,043900000000000;103,293999999999997;253464778,050000011920929;10151,585199999999531
219200649;92064;Saint-Cloud;Dépenses totales;Budget principal;64432455,600000001490116;2129,857700000000023;-11381,809999999999491;-0,000200000000000;-10,067200000000000;335888056,040000021457672;11103,003300000000309
219200755;92075;Vanves;Dépenses totales;Budget principal;51916201,070000000298023;1834,300300000000107;3249625,359999999869615;0,066800000000000;105,899699999999996;287875330,379999995231628;10171,194900000000416
219200441;92044;Levallois-Perret;Dépenses totales;Budget principal;213078011,060000002384186;3109,039299999999912;11993400,039999999105930;0,059600000000000;143,583300000000008;1247261392,000000000000000;18198,896799999998620
219200482;92048;Meudon;Dépenses totales;Budget principal;91295103,260000005364418;1941,829300000000103;9167378,679999999701977;0,111600000000000;176,287100000000009;523434824,589999973773956;11133,358000000000175
219200607;92060;Le Plessis-Robinson;Dépenses totales;Budget principal;145761183,620000004768372;4959,550299999999879;9151538,470000000670552;0,067000000000000;362,839600000000019;778527333,210000038146973;26489,531599999998434
219200722;92072;Sèvres;Dépenses totales;Budget principal;43624040,420000001788139;1900,912499999999909;4864652,679999999701977;0,125500000000000;249,609299999999990;229918508,240000009536743;10018,672200000000885
219200789;92078;Villeneuve-la-Garenne;Dépenses totales;Budget principal;78011362,799999997019768;3066,966600000000199;14141637,310000000521541;0,221400000000000;478,003300000000024;373516782,129999995231628;14684,572299999999814
219200243;92024;Clichy;Dépenses totales;Budget principal;164401808,150000005960464;2525,567399999999907;-7736510,070000000298023;-0,044900000000000;-199,606300000000005;934044289,000000000000000;14348,940599999999904
219200409;92040;Issy-les-Moulineaux;Dépenses totales;Budget principal;138905702,840000003576279;2004,932099999999991;6992651,559999999590218;0,053000000000000;83,149900000000002;846432364,340000033378601;12217,204499999999825
219200474;92047;Marnes-la-Coquette;Dépenses totales;Budget principal;1461166,000000000000000;810,857899999999972;-446679,580000000016298;-0,234100000000000;-240,296699999999987;9499514,250000000000000;5271,650499999999738
219200490;92049;Montrouge;Dépenses totales;Budget principal;106402250,760000005364418;2220,321600000000217;9008831,980000000447035;0,092500000000000;198,620699999999999;560438198,309999942779541;11694,799800000000687
219200508;92050;Nanterre;Dépenses totales;Budget principal;284591954,149999976158142;2904,147699999999986;11213003,060000000521541;0,041000000000000;68,325299999999999;1535789725,599999904632568;15672,123299999999290
